#Path,Method,action,kind,sub,OperationName,OperationNameAlt,Description,metadata
/apis/dashboard.grafana.app/v0alpha1/,GET,,,,getAPIResources,,get available resources,null
/apis/dashboard.grafana.app/v0alpha1/namespaces/{namespace}/dashboards,GET,list,Dashboard,,listNamespacedDashboard,,list or watch objects of kind Dashboard,"{""x-kubernetes-action"":""list"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v0alpha1"",""kind"":""Dashboard""}}"
/apis/dashboard.grafana.app/v0alpha1/namespaces/{namespace}/dashboards,POST,post,Dashboard,,createNamespacedDashboard,,create a Dashboard,"{""x-kubernetes-action"":""post"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v0alpha1"",""kind"":""Dashboard""}}"
/apis/dashboard.grafana.app/v0alpha1/namespaces/{namespace}/dashboards,DELETE,deletecollection,Dashboard,,deletecollectionNamespacedDashboard,,delete collection of Dashboard,"{""x-kubernetes-action"":""deletecollection"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v0alpha1"",""kind"":""Dashboard""}}"
/apis/dashboard.grafana.app/v0alpha1/dashboards,GET,list,Dashboard,,listDashboardForAllNamespaces,,list or watch objects of kind Dashboard,"{""x-kubernetes-action"":""list"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v0alpha1"",""kind"":""Dashboard""}}"
/apis/dashboard.grafana.app/v0alpha1/watch/namespaces/{namespace}/dashboards,GET,watchlist,Dashboard,,watchNamespacedDashboardList,,watch individual changes to a list of Dashboard. deprecated: use the 'watch' parameter with a list operation instead.,"{""x-kubernetes-action"":""watchlist"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v0alpha1"",""kind"":""Dashboard""}}"
/apis/dashboard.grafana.app/v0alpha1/namespaces/{namespace}/dashboards/{name}/history,GET,connect,PartialObjectMetadataList,history,connectGetNamespacedDashboardHistory,getNamespacedDashboardHistory,connect GET requests to history of Dashboard,"{""x-kubernetes-action"":""connect"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v0alpha1"",""kind"":""PartialObjectMetadataList""}}"
/apis/dashboard.grafana.app/v0alpha1/namespaces/{namespace}/librarypanels,GET,list,LibraryPanel,,listNamespacedLibraryPanel,,list objects of kind LibraryPanel,"{""x-kubernetes-action"":""list"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v0alpha1"",""kind"":""LibraryPanel""}}"
/apis/dashboard.grafana.app/v0alpha1/namespaces/{namespace}/dashboards/{name},GET,get,Dashboard,,readNamespacedDashboard,,read the specified Dashboard,"{""x-kubernetes-action"":""get"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v0alpha1"",""kind"":""Dashboard""}}"
/apis/dashboard.grafana.app/v0alpha1/namespaces/{namespace}/dashboards/{name},PUT,put,Dashboard,,replaceNamespacedDashboard,,replace the specified Dashboard,"{""x-kubernetes-action"":""put"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v0alpha1"",""kind"":""Dashboard""}}"
